Month,Rig_count,Oil_prod_per_rig,total_oil_prod,Gas_prod_per_rig,total_gas_prod,total_gas_oil_ratio
2013-12-01,204,166.025585,364236.329,1134.49982,52564.7017,14.431482396145057
2014-01-01,208,164.475487,386283.814,1125.49289,51805.2746,13.411194754331591
2014-02-01,208,163.05962,378258.572,1110.82785,51237.456399999995,13.545616726962106
2014-03-01,212,162.449346,400336.697,1095.90728,54156.538,13.527747619899056
2014-04-01,225,163.371025,368403.855,1084.90103,56664.812699999995,15.381167143324273
2014-05-01,225,166.248826,419062.525,1083.93018,57590.1426,13.742613372551029
2014-06-01,228,170.283434,417588.687,1095.13244,56589.037,13.551381721219858
2014-07-01,233,173.297104,432827.454,1108.33887,57111.6277,13.195010430184032
2014-08-01,240,176.434583,432456.612,1117.06441,57526.811499999996,13.302331356191635
2014-09-01,247,174.692836,439412.532,1094.72582,59061.824,13.44108774758386
2014-10-01,240,171.513712,452569.338,1072.52567,59854.8497,13.225564499024898
2014-11-01,243,172.244607,450230.59,1083.19017,59877.52440000001,13.29930167561471
2014-12-01,241,176.01262,453610.188,1121.86374,59412.1148,13.097614729940766
2015-01-01,212,181.685494,454249.209,1167.48802,58516.328,12.881987869350368
2015-02-01,161,189.052646,444563.403,1223.50432,58755.35919999999,13.216418356416082
2015-03-01,136,197.313649,482477.472,1280.52929,57329.132900000004,11.882240358778866
2015-04-01,119,209.802993,474843.298,1354.60776,61122.80730000001,12.872205958775057
2015-05-01,99,225.182361,462458.068,1447.39876,59900.14349999999,12.952556706179033
2015-06-01,103,242.276973,460592.785,1559.40771,59655.924600000006,12.951988511934681
2015-07-01,104,259.796963,441526.139,1676.63573,59767.2451,13.53651342938951
2015-08-01,107,276.426786,439288.233,1791.87562,60284.0274,13.723114545615429
2015-09-01,103,287.935519,439044.798,1863.44748,60107.85530000001,13.690597308933382
2015-10-01,91,293.880779,441715.797,1885.74168,60339.824100000005,13.660327411835805
2015-11-01,84,297.654645,434145.599,1900.7568,59204.5253,13.637020722165609
2015-12-01,87,302.986707,443725.397,1935.52011,58331.3509,13.14582200937216
2016-01-01,84,311.705256,443434.989,1980.64534,59354.7209,13.385213700401074
2016-02-01,71,322.113331,397777.011,2015.09576,56334.805499999995,14.16240857116803
2016-03-01,65,331.164694,418321.804,2021.50746,52172.9054,12.471954581645473
2016-04-01,60,340.107026,402840.532,2020.52457,56762.937300000005,14.090671814523372
2016-05-01,55,348.5027,413783.303,2042.95378,57975.1222,14.010986373705851
2016-06-01,56,357.430429,409077.686,2098.37441,57366.537899999996,14.023384766090615
2016-07-01,60,365.238695,399327.31,2162.47418,58147.7938,14.561436782272667
2016-08-01,62,368.559123,402163.446,2208.05509,58370.235400000005,14.514057898738017
2016-09-01,69,364.265525,398067.593,2208.07322,57674.388,14.488591639762044
2016-10-01,78,355.140202,407310.712,2180.18019,57789.047999999995,14.187951924033856
2016-11-01,80,342.817249,411785.69,2146.55394,58190.1316,14.131168958299645
2016-12-01,83,330.562848,402272.208,2116.15698,57450.050599999995,14.281386945826494
2017-01-01,84,317.726623,388192.543,2058.61027,56209.850300000006,14.479889249186325
2017-02-01,96,306.174869,410452.505,1977.94987,59962.92,14.608978936551988
2017-03-01,105,298.76593,423455.33,1911.45069,60294.869999999995,14.23877933004173
2017-04-01,118,294.540364,416123.664,1861.88531,60630.56059999999,14.570322681768946
2017-05-01,116,294.523248,418495.289,1856.30384,60370.262899999994,14.425553760534687
2017-06-01,125,297.310909,437254.746,1886.30572,61155.678,13.986281123178477
2017-07-01,129,302.169584,434527.109,1944.02242,61226.787,14.090441247936042
2017-08-01,127,307.361326,447476.298,2006.04352,62444.4845,13.954813870387389
